Date,Now,Open,High,Low,Volume,Diff %
02.01.2018,"1.128,88","1.110,80","1.130,61","1.110,05","856,59M","1,99%"
03.01.2018,"1.112,95","1.130,94","1.137,27","1.110,44","1,02B","-1,41%"
04.01.2018,"1.105,85","1.113,22","1.124,65","1.102,61","1,02B","-0,64%"
05.01.2018,"1.116,55","1.112,34","1.122,29","1.109,74","794,28M","0,97%"
08.01.2018,"1.112,16","1.125,10","1.127,52","1.111,59","806,07M","-0,39%"
09.01.2018,"1.099,76","1.112,42","1.116,00","1.099,07","817,76M","-1,11%"
10.01.2018,"1.084,97","1.097,43","1.097,77","1.078,45","881,19M","-1,34%"
11.01.2018,"1.095,23","1.092,18","1.095,23","1.079,05","915,53M","0,95%"
12.01.2018,"1.093,91","1.098,49","1.104,68","1.093,18","841,17M","-0,12%"
15.01.2018,"1.070,32","1.090,52","1.101,95","1.070,32","984,74M","-2,16%"
16.01.2018,"1.092,58","1.065,82","1.093,04","1.060,58","1,07B","2,08%"
17.01.2018,"1.115,07","1.092,68","1.115,31","1.085,50","996,86M","2,06%"
18.01.2018,"1.117,15","1.120,52","1.126,49","1.110,46","946,21M","0,19%"
19.01.2018,"1.100,07","1.115,70","1.119,01","1.098,27","795,57M","-1,53%"
22.01.2018,"1.120,49","1.105,12","1.120,49","1.101,93","773,28M","1,86%"
23.01.2018,"1.131,55","1.126,46","1.137,35","1.122,55","912,13M","0,99%"
24.01.2018,"1.143,38","1.132,31","1.143,38","1.129,11","938,66M","1,05%"
25.01.2018,"1.133,25","1.143,69","1.150,05","1.133,17","907,48M","-0,89%"
26.01.2018,"1.154,32","1.136,87","1.154,32","1.135,93","917,70M","1,86%"
29.01.2018,"1.155,24","1.160,72","1.162,47","1.140,82","863,99M","0,08%"
30.01.2018,"1.138,78","1.148,59","1.155,79","1.138,78","827,67M","-1,42%"
31.01.2018,"1.142,04","1.142,32","1.149,43","1.138,81","717,06M","0,29%"
01.02.2018,"1.136,74","1.146,87","1.155,30","1.133,11","810,35M","-0,46%"
02.02.2018,"1.127,48","1.139,54","1.141,87","1.124,32","616,06M","-0,81%"
05.02.2018,"1.115,80","1.123,58","1.127,50","1.113,30","705,34M","-1,04%"
06.02.2018,"1.103,08","1.091,22","1.106,92","1.087,66","940,59M","-1,14%"
07.02.2018,"1.103,00","1.110,49","1.112,94","1.101,96","913,83M","-0,01%"
08.02.2018,"1.090,49","1.107,19","1.107,25","1.086,81","809,19M","-1,13%"
09.02.2018,"1.084,50","1.079,77","1.090,96","1.073,73","730,78M","-0,55%"
12.02.2018,"1.096,62","1.094,26","1.102,04","1.093,30","600,48M","1,12%"
13.02.2018,"1.094,79","1.101,55","1.105,95","1.094,38","591,85M","-0,17%"
14.02.2018,"1.084,62","1.103,33","1.106,01","1.083,05","597,54M","-0,93%"
15.02.2018,"1.112,58","1.096,45","1.113,08","1.096,45","642,23M","2,58%"
16.02.2018,"1.115,71","1.118,26","1.125,35","1.110,16","647,07M","0,28%"
19.02.2018,"1.109,34","1.121,15","1.125,57","1.104,94","622,70M","-0,57%"
20.02.2018,"1.085,10","1.113,47","1.118,82","1.083,87","742,71M","-2,19%"
21.02.2018,"1.113,28","1.100,36","1.113,28","1.097,81","689,09M","2,60%"
22.02.2018,"1.118,31","1.111,47","1.119,96","1.104,33","741,77M","0,45%"
23.02.2018,"1.125,41","1.124,20","1.128,39","1.120,17","570,25M","0,63%"
26.02.2018,"1.138,65","1.133,14","1.139,52","1.132,26","676,02M","1,18%"
27.02.2018,"1.139,47","1.140,82","1.143,41","1.135,98","688,24M","0,07%"
28.02.2018,"1.139,95","1.135,39","1.142,95","1.134,57","677,66M","0,04%"
01.03.2018,"1.126,33","1.136,51","1.141,03","1.124,76","841,83M","-1,19%"
02.03.2018,"1.118,72","1.123,06","1.126,07","1.112,90","618,82M","-0,68%"
05.03.2018,"1.118,59","1.120,29","1.124,90","1.115,63","532,98M","-0,01%"
06.03.2018,"1.115,83","1.124,52","1.125,91","1.115,63","691,35M","-0,25%"
07.03.2018,"1.115,93","1.111,54","1.117,46","1.107,78","580,14M","0,01%"
08.03.2018,"1.113,44","1.117,10","1.121,60","1.112,94","533,42M","-0,22%"
09.03.2018,"1.116,41","1.116,63","1.120,03","1.112,46","465,37M","0,27%"
12.03.2018,"1.131,50","1.124,47","1.135,80","1.124,47","728,53M","1,35%"
13.03.2018,"1.130,72","1.132,66","1.134,11","1.125,30","703,73M","-0,07%"
14.03.2018,"1.124,62","1.131,21","1.137,94","1.122,77","633,03M","-0,54%"
15.03.2018,"1.120,71","1.128,40","1.129,76","1.119,09","746,01M","-0,35%"
16.03.2018,"1.120,65","1.124,66","1.126,83","1.117,10","542,68M","-0,01%"
19.03.2018,"1.102,15","1.119,84","1.120,17","1.102,10","519,27M","-1,65%"
20.03.2018,"1.112,28","1.108,07","1.115,32","1.098,97","677,62M","0,92%"
21.03.2018,"1.125,06","1.114,12","1.126,58","1.112,81","742,06M","1,15%"
22.03.2018,"1.119,32","1.132,21","1.134,22","1.118,90","746,34M","-0,51%"
23.03.2018,"1.113,58","1.107,34","1.116,58","1.103,79","927,59M","-0,51%"
26.03.2018,"1.110,97","1.118,83","1.122,85","1.110,32","1,06B","-0,23%"
27.03.2018,"1.109,13","1.122,82","1.124,61","1.109,13","974,73M","-0,17%"
28.03.2018,"1.088,73","1.103,39","1.107,16","1.085,87","1,02B","-1,84%"
29.03.2018,"1.095,19","1.085,35","1.097,62","1.081,54","738,76M","0,59%"
30.03.2018,"1.096,29","1.101,90","1.105,65","1.094,24","585,84M","0,10%"
02.04.2018,"1.090,75","1.098,92","1.100,67","1.090,75","478,02M","-0,51%"
03.04.2018,"1.092,67","1.089,06","1.095,93","1.087,07","762,70M","0,18%"
04.04.2018,"1.087,92","1.094,94","1.095,86","1.080,64","784,72M","-0,43%"
05.04.2018,"1.099,42","1.091,16","1.102,08","1.088,55","1,02B","1,06%"
06.04.2018,"1.096,00","1.096,12","1.101,44","1.092,41","745,09M","-0,31%"
09.04.2018,"1.081,21","1.102,02","1.102,68","1.074,61","873,09M","-1,35%"
10.04.2018,"1.057,73","1.084,24","1.084,75","1.050,89","1,07B","-2,17%"
11.04.2018,"1.043,94","1.053,37","1.065,57","1.019,38","1,16B","-1,30%"
12.04.2018,"1.054,00","1.042,72","1.055,03","1.034,90","928,77M","0,96%"
13.04.2018,"1.047,65","1.058,00","1.058,67","1.041,82","729,01M","-0,60%"
16.04.2018,"1.057,44","1.050,34","1.062,02","1.049,77","777,43M","0,93%"
17.04.2018,"1.039,62","1.064,82","1.066,50","1.032,71","1,27B","-1,69%"
18.04.2018,"1.072,23","1.037,97","1.072,23","1.027,38","1,27B","3,14%"
19.04.2018,"1.072,08","1.071,95","1.075,17","1.067,80","942,78M","-0,01%"
20.04.2018,"1.060,20","1.070,53","1.070,72","1.057,87","707,81M","-1,11%"
24.04.2018,"1.051,09","1.057,28","1.058,49","1.048,66","721,11M","-0,86%"
25.04.2018,"1.026,01","1.054,59","1.055,76","1.019,65","992,00M","-2,39%"
26.04.2018,"1.022,32","1.030,66","1.033,92","1.015,10","691,44M","-0,36%"
27.04.2018,"1.028,05","1.024,32","1.034,12","1.018,87","759,33M","0,56%"
30.04.2018,"993,85","1.031,60","1.033,52","989,50","730,42M","-3,33%"
02.05.2018,"1.000,68","999,96","1.005,68","982,75","932,51M","0,69%"
03.05.2018,"983,15","1.000,80","1.002,69","980,27","906,45M","-1,75%"
04.05.2018,"980,17","981,83","987,96","970,02","923,67M","-0,30%"
07.05.2018,"963,28","980,67","981,77","960,65","624,38M","-1,72%"
08.05.2018,"951,26","968,70","970,95","947,28","941,77M","-1,25%"
09.05.2018,"966,49","945,28","974,84","938,98","909,36M","1,60%"
10.05.2018,"982,95","970,94","982,95","952,27","911,25M","1,70%"
11.05.2018,"976,74","983,77","987,23","970,93","731,51M","-0,63%"
14.05.2018,"992,35","975,67","995,74","974,07","664,18M","1,60%"
15.05.2018,"975,52","981,50","988,98","972,00","888,38M","-1,70%"
16.05.2018,"982,41","976,35","988,84","967,01","890,31M","0,71%"
17.05.2018,"979,63","987,40","988,10","976,52","748,71M","-0,28%"
18.05.2018,"985,40","981,33","989,72","979,93","630,58M","0,59%"
21.05.2018,"984,44","983,18","994,43","980,84","654,01M","-0,10%"
22.05.2018,"995,45","988,95","999,84","984,95","840,97M","1,12%"
23.05.2018,"982,18","990,42","996,99","977,40","939,42M","-1,33%"
24.05.2018,"975,08","993,51","1.000,76","972,43","1,05B","-0,72%"
25.05.2018,"995,91","981,33","997,24","977,10","857,52M","2,14%"
28.05.2018,"1.027,61","1.008,26","1.027,61","1.007,51","778,85M","3,18%"
29.05.2018,"1.013,73","1.021,14","1.021,14","1.005,78","753,84M","-1,35%"
30.05.2018,"1.000,78","1.012,30","1.020,35","999,25","914,77M","-1,28%"
31.05.2018,"968,31","1.004,36","1.005,45","968,31","1,05B","-3,24%"
01.06.2018,"954,74","969,25","969,92","943,22","1,10B","-1,40%"
04.06.2018,"955,09","955,37","968,23","952,22","793,07M","0,04%"
05.06.2018,"940,97","958,84","961,56","939,84","718,52M","-1,48%"
06.06.2018,"930,50","945,09","945,96","914,99","965,48M","-1,11%"
07.06.2018,"950,81","927,85","952,33","924,98","1,05B","2,18%"
08.06.2018,"921,69","946,38","946,38","920,11","929,22M","-3,06%"
11.06.2018,"930,58","922,13","935,81","898,05","1,03B","0,96%"
12.06.2018,"917,70","928,67","931,38","914,21","750,76M","-1,38%"
13.06.2018,"900,50","912,81","920,82","898,74","701,66M","-1,87%"
14.06.2018,"910,84","898,21","919,32","893,13","415,12M","1,15%"
19.06.2018,"909,62","891,02","912,71","888,00","815,99M","1,57%"
20.06.2018,"910,19","907,91","917,27","902,34","782,56M","0,06%"
21.06.2018,"914,96","910,78","918,48","907,93","698,35M","0,52%"
22.06.2018,"922,99","919,69","926,27","909,35","637,10M","0,88%"
25.06.2018,"904,34","955,83","956,45","897,96","1,12B","-2,02%"
26.06.2018,"909,03","904,86","915,55","902,64","768,52M","0,52%"
27.06.2018,"923,45","909,01","926,02","907,29","992,24M","1,59%"
28.06.2018,"926,03","921,83","933,42","918,70","910,15M","0,28%"
29.06.2018,"927,33","931,87","937,79","925,05","794,30M","0,14%"
02.07.2018,"930,13","922,88","934,47","918,44","809,57M","0,30%"
03.07.2018,"928,39","932,62","936,54","926,84","739,12M","-0,19%"
04.07.2018,"935,03","930,37","937,16","926,07","686,11M","0,72%"
05.07.2018,"953,37","938,24","954,86","938,24","995,40M","1,96%"
06.07.2018,"950,66","955,31","960,48","944,18","977,66M","-0,28%"
09.07.2018,"956,14","959,35","971,93","951,15","1,15B","0,58%"
10.07.2018,"926,48","940,31","948,15","922,51","1,42B","-3,10%"
11.07.2018,"878,86","917,68","917,68","878,39","1,58B","-5,14%"
12.07.2018,"863,27","883,24","890,01","849,01","1,68B","-1,77%"
13.07.2018,"865,33","866,98","877,09","860,30","898,21M","0,24%"
16.07.2018,"862,82","873,05","875,87","857,23","964,02M","-0,29%"
17.07.2018,"881,89","863,39","881,89","863,08","1,17B","2,21%"
18.07.2018,"888,67","882,73","889,66","870,19","1,35B","0,77%"
19.07.2018,"895,34","892,87","898,30","887,23","1,03B","0,75%"
20.07.2018,"905,51","897,80","906,51","892,81","894,13M","1,14%"
23.07.2018,"918,43","912,67","925,19","912,67","940,61M","1,43%"
24.07.2018,"886,47","920,51","920,51","883,79","1,29B","-3,48%"
25.07.2018,"918,71","888,92","922,90","886,79","1,44B","3,64%"
26.07.2018,"912,89","922,78","931,30","900,30","1,48B","-0,63%"
27.07.2018,"920,69","913,90","924,65","909,12","1,04B","0,85%"
30.07.2018,"925,15","918,02","926,58","913,48","906,59M","0,48%"
31.07.2018,"934,07","922,69","936,32","921,39","1,06B","0,96%"
01.08.2018,"937,12","935,95","939,26","927,24","967,69M","0,33%"
02.08.2018,"911,99","920,84","920,84","908,28","993,20M","-2,68%"
03.08.2018,"921,01","911,31","925,99","911,31","1,03B","0,99%"
06.08.2018,"906,55","917,48","919,55","901,12","1,01B","-1,57%"
07.08.2018,"927,32","910,92","929,94","909,68","1,19B","2,29%"
08.08.2018,"935,25","928,87","938,61","925,60","1,12B","0,86%"
09.08.2018,"937,14","921,39","952,75","919,30","1,98B","0,20%"
10.08.2018,"916,27","921,89","944,36","856,44","2,03B","-2,23%"
13.08.2018,"892,97","906,90","906,90","855,48","2,28B","-2,54%"
14.08.2018,"900,28","913,18","917,99","894,54","1,57B","0,82%"
15.08.2018,"870,31","916,97","918,40","868,78","1,49B","-3,33%"
16.08.2018,"839,60","882,84","883,12","839,60","1,37B","-3,53%"
17.08.2018,"858,29","834,01","858,52","815,72","1,16B","2,23%"
20.08.2018,"872,35","860,27","875,31","860,14","330,43M","1,64%"
27.08.2018,"881,84","879,63","881,84","869,80","781,18M","1,09%"
28.08.2018,"907,88","881,62","909,11","878,85","1,03B","2,95%"
29.08.2018,"902,14","902,41","911,76","897,18","894,86M","-0,63%"
31.08.2018,"896,87","904,23","906,10","890,84","852,07M","-0,58%"
03.09.2018,"906,05","892,14","914,28","891,60","890,02M","1,02%"
04.09.2018,"899,36","909,29","912,47","896,99","732,65M","-0,74%"
05.09.2018,"895,24","898,19","904,64","890,88","847,58M","-0,46%"
06.09.2018,"893,70","898,32","908,03","893,70","635,24M","-0,17%"
07.09.2018,"898,86","897,67","902,79","891,49","777,81M","0,58%"
10.09.2018,"884,26","901,50","902,66","884,26","766,37M","-1,62%"
11.09.2018,"891,94","886,08","895,28","882,04","689,50M","0,87%"
12.09.2018,"890,21","895,99","903,15","887,70","860,22M","-0,19%"
13.09.2018,"911,13","890,34","912,93","880,70","1,39B","2,35%"
14.09.2018,"914,11","920,15","930,04","910,60","1,37B","0,33%"
17.09.2018,"910,13","911,01","917,28","904,33","903,67M","-0,44%"
18.09.2018,"915,46","913,73","920,26","912,01","1,00B","0,59%"
19.09.2018,"933,29","921,35","934,52","919,30","1,65B","1,95%"
20.09.2018,"927,94","937,23","941,03","922,82","1,99B","-0,57%"
21.09.2018,"947,43","932,51","947,43","932,51","1,11B","2,10%"
24.09.2018,"963,61","950,23","963,61","945,21","1,69B","1,71%"
25.09.2018,"961,07","969,16","969,77","954,31","1,56B","-0,26%"
26.09.2018,"960,17","963,44","965,68","950,00","1,06B","-0,09%"
27.09.2018,"971,83","959,35","975,41","957,82","1,82B","1,21%"
28.09.2018,"968,34","973,11","973,54","960,51","1,78B","-0,36%"
01.10.2018,"954,11","969,30","975,14","954,11","1,56B","-1,47%"
02.10.2018,"950,47","952,83","955,74","942,57","1,18B","-0,38%"
03.10.2018,"940,74","950,95","955,70","938,43","1,18B","-1,02%"
04.10.2018,"915,72","939,03","939,21","915,72","1,15B","-2,66%"
05.10.2018,"919,58","913,96","920,89","903,00","1,14B","0,42%"
08.10.2018,"932,22","911,77","933,52","909,42","1,28B","1,37%"
09.10.2018,"939,74","935,82","943,17","927,11","1,38B","0,81%"
10.10.2018,"916,43","942,82","943,56","916,43","1,29B","-2,48%"
11.10.2018,"919,29","911,14","922,82","906,99","1,18B","0,31%"
12.10.2018,"937,68","928,77","943,69","905,20","1,67B","2,00%"
15.10.2018,"956,79","944,51","961,11","944,51","1,64B","2,04%"
16.10.2018,"955,02","956,00","962,69","949,55","1,27B","-0,18%"
17.10.2018,"959,93","962,56","965,79","950,26","1,32B","0,51%"
18.10.2018,"944,30","959,67","961,33","941,97","1,08B","-1,63%"
19.10.2018,"933,86","947,71","948,71","932,68","996,94M","-1,11%"
22.10.2018,"916,72","941,67","943,22","916,72","914,78M","-1,84%"
23.10.2018,"905,19","910,38","914,73","895,07","1,08B","-1,26%"
24.10.2018,"897,06","909,40","911,95","897,06","858,01M","-0,90%"
25.10.2018,"909,44","893,20","909,47","890,68","930,61M","1,38%"
26.10.2018,"877,07","911,39","911,80","877,07","881,24M","-3,56%"
30.10.2018,"871,07","880,51","885,14","856,72","1,09B","-0,68%"
31.10.2018,"873,73","875,84","890,10","864,96","1,16B","0,31%"
01.11.2018,"895,09","874,27","895,58","871,03","1,02B","2,44%"
02.11.2018,"912,71","901,36","917,28","897,24","1,35B","1,97%"
05.11.2018,"931,16","916,59","931,16","909,10","1,21B","2,02%"
06.11.2018,"918,65","933,03","934,04","912,98","1,18B","-1,34%"
07.11.2018,"926,68","917,85","932,22","913,80","1,12B","0,87%"
08.11.2018,"905,98","927,04","928,07","903,73","1,15B","-2,23%"
09.11.2018,"898,91","904,16","907,79","892,33","1,03B","-0,78%"
12.11.2018,"885,90","900,63","907,67","885,90","820,93M","-1,45%"
13.11.2018,"899,13","886,74","903,08","884,55","1,03B","1,49%"
14.11.2018,"905,53","897,13","909,77","891,85","1,20B","0,71%"
15.11.2018,"904,93","907,79","912,13","898,98","1,04B","-0,07%"
16.11.2018,"907,86","909,79","914,86","899,18","789,50M","0,32%"
19.11.2018,"917,34","907,18","917,71","907,18","940,51M","1,04%"
20.11.2018,"888,73","914,33","915,39","887,44","1,36B","-3,12%"
21.11.2018,"898,57","892,14","898,57","887,67","1,02B","1,11%"
22.11.2018,"897,87","898,96","901,06","890,75","725,71M","-0,08%"
23.11.2018,"902,01","897,33","902,01","892,36","652,68M","0,46%"
26.11.2018,"911,32","907,21","916,71","906,56","1,14B","1,03%"
27.11.2018,"905,35","910,77","912,72","900,99","1,03B","-0,66%"
28.11.2018,"910,73","907,97","916,54","907,97","962,31M","0,59%"
29.11.2018,"920,09","919,58","924,91","917,14","967,59M","1,03%"
30.11.2018,"923,35","920,25","923,35","914,93","1,27B","0,35%"
03.12.2018,"918,81","932,81","937,47","918,81","1,17B","-0,49%"
04.12.2018,"906,93","914,91","923,96","903,64","1,08B","-1,29%"
05.12.2018,"907,25","898,12","909,69","896,14","971,10M","0,04%"
06.12.2018,"895,73","902,52","905,86","891,37","796,81M","-1,27%"
07.12.2018,"905,04","902,61","906,10","899,35","746,41M","1,04%"
10.12.2018,"890,69","900,59","902,66","890,64","695,62M","-1,59%"
11.12.2018,"886,86","892,67","895,17","885,26","815,86M","-0,43%"
12.12.2018,"870,05","890,41","892,27","869,37","1,02B","-1,90%"
13.12.2018,"883,46","874,91","884,42","873,88","717,02M","1,54%"
14.12.2018,"875,14","880,46","882,09","863,92","766,19M","-0,94%"
17.12.2018,"871,04","875,98","880,26","869,66","537,67M","-0,47%"
18.12.2018,"882,59","868,31","882,59","867,14","722,31M","1,33%"
19.12.2018,"897,57","885,24","897,76","882,73","852,39M","1,70%"
20.12.2018,"890,45","890,40","895,85","885,31","803,25M","-0,79%"
21.12.2018,"890,49","889,52","894,08","881,06","806,08M","0,00%"
24.12.2018,"886,69","892,99","896,09","886,60","482,68M","-0,43%"
25.12.2018,"879,59","881,22","883,64","876,50","287,94M","-0,80%"
26.12.2018,"881,76","882,54","885,29","878,30","241,79M","0,25%"
27.12.2018,"882,36","889,70","890,90","879,68","475,36M","0,07%"
28.12.2018,"876,93","884,41","887,68","873,77","453,98M","-0,62%"
31.12.2018,"884,65","879,48","885,38","875,27","333,20M","0,88%"
